episode,success,return,steps
0,0,3.659571788637078,400
1,0,8.2369840533426,400
2,0,8.549422928769058,400
3,0,5.6118876804927265,400
4,0,1.735899186796741,400
5,0,2.6667625520297022,400
6,0,2.64422802571337,400
7,0,10.306482202908168,400
8,0,8.483913949306373,400
9,0,3.9473288352328395,400
